,questions
339,"Problem: After having fun with a certain contraption and getting caught, Evirir the dragon decides to put their magical skills to good use — warping reality to escape fast!

You are given a grid with $$$n$$$ rows and $$$m$$$ columns of non-negative integers and an integer $$$k$$$. Let $$$(i, j)$$$ denote the cell in the $$$i$$$-th row from the top and $$$j$$$-th column from the left ($$$1 \le i \le n$$$, $$$1 \le j \le m$$$). For every cell $$$(i, j)$$$, the integer $$$a_{i, j}$$$ is written on the cell $$$(i, j)$$$.

You are initially at $$$(1, 1)$$$ and want to go to $$$(n, m)$$$. You may only move down or right. That is, if you are at $$$(i, j)$$$, you can only move to $$$(i+1, j)$$$ or $$$(i, j+1)$$$ (if the corresponding cell exists).

Before you begin moving, you may do the following operation any number of times:

- Choose an integer $$$i$$$ between $$$1$$$ and $$$n$$$ and cyclically shift row $$$i$$$ to the left by $$$1$$$. Formally, simultaneously set $$$a_{i,j}$$$ to $$$a_{i,(j \bmod m) + 1}$$$ for all integers $$$j$$$ ($$$1 \le j \le m$$$).

After moving from $$$(1, 1)$$$ to $$$(n, m)$$$, let $$$x$$$ be the number of operations you have performed before moving, and let $$$y$$$ be the sum of the integers written on visited cells (including $$$(1, 1)$$$ and $$$(n, m)$$$). Then the cost is defined as $$$kx + y$$$.

Find the minimum cost to move from $$$(1, 1)$$$ to $$$(n, m)$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line contains three space-separated integers $$$n$$$, $$$m$$$, and $$$k$$$ ($$$1 \leq n, m \leq 200$$$, $$$0 \leq k \leq 10^9$$$).

Then, $$$n$$$ lines follow. The $$$i$$$-th line contains $$$m$$$ space-separated integers, $$$a_{i,1},\,a_{i,2},\,\ldots,\,a_{i,m}$$$ ($$$0 \leq a_{i,j} \leq 10^9$$$).

It is guaranteed that the sum of $$$n \cdot m$$$ over all test cases does not exceed $$$5 \cdot 10^4$$$.

For each test case, output a single integer, the minimum cost to move from $$$(1, 1)$$$ to $$$(n, m)$$$.

Inputs:
5
3 3 100
3 4 9
5 2 4
0 101 101
3 4 1
10 0 0 10
0 0 10 0
10 10 0 10
1 1 3
4
3 2 3
1 2
3 6
5 4
10 10 14
58 49 25 12 89 69 8 49 71 23
45 27 65 59 36 100 73 23 5 84
82 91 54 92 53 15 43 46 11 65
61 69 71 87 67 72 51 42 55 80
1 64 8 54 61 70 47 100 84 50
86 93 43 51 47 35 56 20 33 61
100 59 5 68 15 55 69 8 8 60
33 61 20 79 69 51 23 24 56 28
67 76 3 69 58 79 75 10 65 63
6 64 73 79 17 62 55 53 61 58


Outputs:
113
6
4
13
618
"
340,"Problem: You, a wizard whose creation was destroyed by a dragon, are determined to hunt it down with a magical AOE tracker. But it seems to be toyed with...

This is an interactive problem.

There is a hidden binary array $$$a$$$ of length $$$n$$$ ($$$\mathbf{n}$$$ is a power of 2) and a hidden integer $$$k\ (2 \le k \le n - 1)$$$. The array $$$a$$$ contains exactly one 1 (and all other elements are 0). For two integers $$$l$$$ and $$$r$$$ ($$$1 \le l \le r \le n$$$), define the range sum $$$s(l, r) = a_l + a_{l+1} + \cdots + a_r$$$.

You have a magical device that takes ranges and returns range sums, but it returns the opposite result when the range has length at least $$$k$$$. Formally, in one query, you can give it a pair of integers $$$[l, r]$$$ where $$$1 \le l \le r \le n$$$, and it will return either $$$0$$$ or $$$1$$$ according to the following rules:

- If $$$r - l + 1 < k$$$, it will return $$$s(l, r)$$$.
- If $$$r - l + 1 \ge k$$$, it will return $$$1 - s(l, r)$$$.

Find $$$k$$$ using at most $$$33$$$ queries.

The device is not adaptive. It means that the hidden $$$a$$$ and $$$k$$$ are fixed before the interaction and will not change during the interaction.

Input and Output Format:
None

None

Inputs:
2
8 6 5
4 3 2


Outputs:
? 1 2
? 3 4
? 5 6
! 2
? 1 0
? 1 1
? 2 2
! 0
"
341,"Problem: An integer sequence $$$b_1, b_2, \ldots, b_n$$$ is good if $$$\operatorname{mex}(b_1, b_2, \ldots, b_n) - (b_1 | b_2 | \ldots | b_n) = 1$$$. Here, $$$\operatorname{mex(c)}$$$ denotes the MEX$$$^{\text{∗}}$$$ of the collection $$$c$$$, and $$$|$$$ is the bitwise OR operator.

Shohag has an integer sequence $$$a_1, a_2, \ldots, a_n$$$. He will perform the following $$$q$$$ updates on $$$a$$$:

- $$$i$$$ $$$x$$$ — increase $$$a_i$$$ by $$$x$$$.

After each update, help him find the length of the longest good subarray$$$^{\text{†}}$$$ of $$$a$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains two space-separated integers $$$n$$$ and $$$q$$$ ($$$1 \le n, q \le 10^5$$$).

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \le a_i \le n$$$).

The next $$$q$$$ lines of each test case are of the following form:

- $$$i$$$ $$$x$$$ ($$$1 \le i, x \le n$$$) — it means you should increase $$$a_i$$$ by $$$x$$$.

It is guaranteed that the sum of $$$n$$$ over all test cases doesn't exceed $$$10^5$$$ and the sum of $$$q$$$ doesn't exceed $$$10^5$$$.

For each test case, output $$$q$$$ lines — on the $$$i$$$-th line output the length of the longest good subarray of $$$a$$$ after the $$$i$$$-th update.

Inputs:
2
6 3
0 0 1 0 1 0
6 1
3 2
6 3
3 1
1 3 1
1 1


Outputs:
6
3
2
0
"
342,"Problem: You received an $$$n\times m$$$ grid from a mysterious source. The source also gave you a magic positive integer constant $$$k$$$.

The source told you to color the grid with some colors, satisfying the following condition:

- If $$$(x_1,y_1)$$$, $$$(x_2,y_2)$$$ are two distinct cells with the same color, then $$$\max(|x_1-x_2|,|y_1-y_2|)\ge k$$$.

You don't like using too many colors. Please find the minimum number of colors needed to color the grid.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le1000$$$). The description of the test cases follows.

The only line of each test case consists of three positive integers $$$n$$$, $$$m$$$, $$$k$$$ ($$$1\le n,m,k\le10^4$$$) — the dimensions of the grid and the magic constant.

For each test case, print a single integer — the minimum number of colors needed to color the grid.

Inputs:
6
3 3 2
5 1 10000
7 3 4
3 2 7
8 9 6
2 5 4


Outputs:
4
5
12
6
36
8
"
343,"Problem: Alice got a permutation $$$a_1, a_2, \ldots, a_n$$$ of $$$[1,2,\ldots,n]$$$, and Bob got another permutation $$$b_1, b_2, \ldots, b_n$$$ of $$$[1,2,\ldots,n]$$$. They are going to play a game with these arrays.

In each turn, the following events happen in order:

- Alice chooses either the first or the last element of her array and removes it from the array;
- Bob chooses either the first or the last element of his array and removes it from the array.

The game continues for $$$n-1$$$ turns, after which both arrays will have exactly one remaining element: $$$x$$$ in the array $$$a$$$ and $$$y$$$ in the array $$$b$$$.

If $$$x=y$$$, Bob wins; otherwise, Alice wins. Find which player will win if both players play optimally.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^4$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$1\le n\le 3\cdot 10^5$$$).

The next line contains $$$n$$$ integers $$$a_1,a_2,\ldots,a_n$$$ ($$$1\le a_i\le n$$$, all $$$a_i$$$ are distinct) — the permutation of Alice.

The next line contains $$$n$$$ integers $$$b_1,b_2,\ldots,b_n$$$ ($$$1\le b_i\le n$$$, all $$$b_i$$$ are distinct) — the permutation of Bob.

It is guaranteed that the sum of all $$$n$$$ does not exceed $$$3\cdot 10^5$$$.

For each test case, print a single line with the name of the winner, assuming both players play optimally. If Alice wins, print $$$\texttt{Alice}$$$; otherwise, print $$$\texttt{Bob}$$$.

Inputs:
2
2
1 2
1 2
3
1 2 3
2 3 1


Outputs:
Bob
Alice
"
344,"Problem: There are $$$n$$$ circles on a two-dimensional plane. The $$$i$$$-th circle is centered at $$$(x_i,y_i)$$$. Initially, all circles have a radius of $$$0$$$.

The circles' radii increase at a rate of $$$1$$$ unit per second.

You are currently at $$$(x_s,y_s)$$$; your goal is to reach $$$(x_t,y_t)$$$ without touching the circumference of any circle (including the moment you reach $$$(x_t,y_t)$$$). You can move in any direction you want. However, your speed is limited to $$$1$$$ unit per second.

Please determine whether this is possible.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^4$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$1\le n\le10^5$$$) — the number of circles.

The next $$$n$$$ lines each contain two integers $$$x_i$$$, $$$y_i$$$ ($$$1\le x_i,y_i\le10^9$$$) — the center of each circle.

The final line contains four integers $$$x_s$$$, $$$y_s$$$, $$$x_t$$$, $$$y_t$$$ ($$$1\le x_s,y_s,x_t,y_t\le10^9$$$) — the coordinates of the starting point and the goal, respectively.

It is guaranteed that these $$$n+2$$$ points are distinct.

It is guaranteed that the sum of $$$n$$$ over all testcases does not exceed $$$10^5$$$.

For each test case, output $$$\texttt{YES}$$$ if it is possible to reach the goal without touching the circle boundaries, and output $$$\texttt{NO}$$$ otherwise.

You can output $$$\texttt{Yes}$$$ and $$$\texttt{No}$$$ in any case (for example, strings $$$\texttt{yEs}$$$, $$$\texttt{yes}$$$, $$$\texttt{Yes}$$$, and $$$\texttt{YES}$$$ will be recognized as a positive response).

Inputs:
7
3
2 5
2 14
10 13
4 9 9 7
3
10 11
6 9
12 12
14 13 4 8
1
5 7
12 6 11 13
2
1000000000 2
2 1000000000
1 1 2 2
1
999999998 1000000000
999999999 999999999 1 1
1
1000000000 1
1 1000000000 1 1
10
989237121 2397081
206669655 527238537
522705783 380636165
532545346 320061691
207818728 199485303
884520552 315781807
992311437 802563521
205138355 324818663
223575704 395073023
281560523 236279118
216941610 572010615 323956540 794523071


Outputs:
YES
NO
YES
YES
YES
NO
YES
"
345,"Problem: This is the easy version of the problem. In this version, the given tree is a perfect binary tree and the constraints on $$$n$$$ and $$$q$$$ are lower. You can make hacks only if both versions of the problem are solved.

You are given a perfect binary tree$$$^\dagger$$$ consisting of $$$n$$$ vertices. The vertices are numbered from $$$1$$$ to $$$n$$$, and the root is the vertex $$$1$$$. You are also given a permutation $$$p_1, p_2, \ldots, p_n$$$ of $$$[1,2,\ldots,n]$$$.

You need to answer $$$q$$$ queries. For each query, you are given two integers $$$x$$$, $$$y$$$; you need to swap $$$p_x$$$ and $$$p_y$$$ and determine if $$$p_1, p_2, \ldots, p_n$$$ is a valid DFS order$$$^\ddagger$$$ of the given tree.

Please note that the swaps are persistent through queries.

$$$^\dagger$$$ A perfect binary tree is a tree with vertex $$$1$$$ as its root, with size $$$n=2^k-1$$$ for a positive integer $$$k$$$, and where the parent of each vertex $$$i$$$ ($$$1<i\le n$$$) is $$$\left\lfloor\frac{i}{2}\right\rfloor$$$. Thus, all leaves of this tree are at a distance $$$k - 1$$$ from the root.

$$$^\ddagger$$$ A DFS order is found by calling the following $$$\texttt{dfs}$$$ function on the given tree.

Note that the DFS order is not unique.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^4$$$). The description of the test cases follows.

The first line of each test case contains two integers $$$n$$$, $$$q$$$ ($$$3\le n\le 65\,535$$$, $$$2\le q\le 5 \cdot 10^4$$$) — the number of vertices in the tree and the number of queries. It is guaranteed that $$$n=2^k-1$$$ for a positive integer $$$k$$$.

The next line contains $$$n-1$$$ integers $$$a_2,a_3,\ldots,a_n$$$ ($$$1\le a_i<i$$$) — the parent of each vertex in the given tree. It is guaranteed that $$$a_i=\left\lfloor\frac{i}{2}\right\rfloor$$$.

The next line contains $$$n$$$ integers $$$p_1,p_2,\ldots,p_n$$$ ($$$1\le p_i\le n$$$, all $$$p_i$$$ are distinct) — the initial permutation $$$p$$$.

The next $$$q$$$ lines each contain two integers $$$x$$$, $$$y$$$ ($$$1\le x,y\le n,x\neq y$$$) — the positions of the elements to swap in the permutation.

It is guaranteed that the sum of all $$$n$$$ does not exceed $$$65\,535$$$, and the sum of all $$$q$$$ does not exceed $$$5 \cdot 10^4$$$.

For each test case, print $$$q$$$ lines corresponding to the $$$q$$$ queries. For each query, output $$$\texttt{YES}$$$ if there is a DFS order that exactly equals the current permutation, and output $$$\texttt{NO}$$$ otherwise.

You can output $$$\texttt{Yes}$$$ and $$$\texttt{No}$$$ in any case (for example, strings $$$\texttt{yEs}$$$, $$$\texttt{yes}$$$, $$$\texttt{Yes}$$$ and $$$\texttt{YES}$$$ will be recognized as a positive response).

Inputs:
2
3 3
1 1
1 2 3
2 3
3 2
1 3
7 4
1 1 2 2 3 3
1 2 3 4 5 6 7
3 5
2 5
3 7
4 6


Outputs:
YES
YES
NO
YES
NO
NO
YES
"
346,"Problem: This is the hard version of the problem. In this version, you are given a generic tree and the constraints on $$$n$$$ and $$$q$$$ are higher. You can make hacks only if both versions of the problem are solved.

You are given a rooted tree consisting of $$$n$$$ vertices. The vertices are numbered from $$$1$$$ to $$$n$$$, and the root is the vertex $$$1$$$. You are also given a permutation $$$p_1, p_2, \ldots, p_n$$$ of $$$[1,2,\ldots,n]$$$.

You need to answer $$$q$$$ queries. For each query, you are given two integers $$$x$$$, $$$y$$$; you need to swap $$$p_x$$$ and $$$p_y$$$ and determine if $$$p_1, p_2, \ldots, p_n$$$ is a valid DFS order$$$^\dagger$$$ of the given tree.

Please note that the swaps are persistent through queries.

$$$^\dagger$$$ A DFS order is found by calling the following $$$\texttt{dfs}$$$ function on the given tree.

Note that the DFS order is not unique.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^4$$$). The description of the test cases follows.

The first line of each test case contains two integers $$$n$$$, $$$q$$$ ($$$2\le n\le 3\cdot 10^5$$$, $$$2\le q\le 10^5$$$) — the number of vertices in the tree and the number of queries.

The next line contains $$$n-1$$$ integers $$$a_2,a_3,\ldots,a_n$$$ ($$$1\le a_i<i$$$) — the parent of each vertex in the given tree.

The next line contains $$$n$$$ integers $$$p_1,p_2,\ldots,p_n$$$ ($$$1\le p_i\le n$$$, all $$$p_i$$$ are distinct) — the initial permutation $$$p$$$.

The next $$$q$$$ lines each contain two integers $$$x$$$, $$$y$$$ ($$$1\le x,y\le n,x\neq y$$$) — the positions of the elements to swap in the permutation.

It is guaranteed that the sum of all $$$n$$$ does not exceed $$$3\cdot 10^5$$$, and the sum of all $$$q$$$ does not exceed $$$10^5$$$.

For each test case, print $$$q$$$ lines corresponding to the $$$q$$$ queries. For each query, output $$$\texttt{YES}$$$ if there is a DFS order that exactly equals the current permutation, and output $$$\texttt{NO}$$$ otherwise.

You can output $$$\texttt{Yes}$$$ and $$$\texttt{No}$$$ in any case (for example, strings $$$\texttt{yEs}$$$, $$$\texttt{yes}$$$, $$$\texttt{Yes}$$$, and $$$\texttt{YES}$$$ will be recognized as a positive response).

Inputs:
3
3 3
1 1
1 2 3
2 3
3 2
1 3
7 4
1 1 2 2 3 3
1 2 3 4 5 6 7
3 5
2 5
3 7
4 6
5 4
1 1 3 4
2 3 4 5 1
5 1
4 5
3 4
2 3


Outputs:
YES
YES
NO
YES
NO
NO
YES
YES
NO
NO
YES
"
347,"Problem: Given an array of integers $$$s_1, s_2, \ldots, s_l$$$, every second, cosmic rays will cause all $$$s_i$$$ such that $$$i=1$$$ or $$$s_i\neq s_{i-1}$$$ to be deleted simultaneously, and the remaining parts will be concatenated together in order to form the new array $$$s_1, s_2, \ldots, s_{l'}$$$.

Define the strength of an array as the number of seconds it takes to become empty.

You are given an array of integers compressed in the form of $$$n$$$ pairs that describe the array left to right. Each pair $$$(a_i,b_i)$$$ represents $$$a_i$$$ copies of $$$b_i$$$, i.e. $$$\underbrace{b_i,b_i,\cdots,b_i}_{a_i\textrm{ times}}$$$.

For each $$$i=1,2,\dots,n$$$, please find the strength of the sequence described by the first $$$i$$$ pairs.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^4$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$1\le n\le3\cdot10^5$$$) — the length of sequence $$$a$$$.

The next $$$n$$$ lines contain two integers each $$$a_i$$$, $$$b_i$$$ ($$$1\le a_i\le10^9,0\le b_i\le n$$$) — the pairs which describe the sequence.

It is guaranteed that the sum of all $$$n$$$ does not exceed $$$3\cdot10^5$$$.

It is guaranteed that for all $$$1\le i<n$$$, $$$b_i\neq b_{i+1}$$$ holds.

For each test case, print one line containing $$$n$$$ integers — the answer for each prefix of pairs.

Inputs:
4
4
2 0
1 1
3 0
5 1
6
4 6
1 3
4 6
4 0
7 6
6 3
7
9 0
7 1
5 0
7 1
9 0
1 1
2 0
10
10 7
4 9
2 2
7 9
2 8
8 5
11 7
15 5
12 7
4 0


Outputs:
2 2 4 5 
4 4 7 7 10 10 
9 9 9 9 9 9 10 
10 10 10 10 10 10 12 15 15 15 
"
348,"Problem: This is the easy version of the problem. In this version, $$$n=m$$$ and the time limit is lower. You can make hacks only if both versions of the problem are solved.

In the court of the Blue King, Lelle and Flamm are having a performance match. The match consists of several rounds. In each round, either Lelle or Flamm wins.

Let $$$W_L$$$ and $$$W_F$$$ denote the number of wins of Lelle and Flamm, respectively. The Blue King considers a match to be successful if and only if:

- after every round, $$$\gcd(W_L,W_F)\le 1$$$;
- at the end of the match, $$$W_L\le n, W_F\le m$$$.

Note that $$$\gcd(0,x)=\gcd(x,0)=x$$$ for every non-negative integer $$$x$$$.

Lelle and Flamm can decide to stop the match whenever they want, and the final score of the performance is $$$l \cdot W_L + f \cdot W_F$$$.

Please help Lelle and Flamm coordinate their wins and losses such that the performance is successful, and the total score of the performance is maximized.

Input and Output Format:
The first line contains an integer $$$t$$$ ($$$1\leq t \leq 10^3$$$) — the number of test cases.

The only line of each test case contains four integers $$$n$$$, $$$m$$$, $$$l$$$, $$$f$$$ ($$$2\leq n\leq m \leq 2\cdot 10^7$$$, $$$1\leq l,f \leq 10^9$$$, $$$\bf{n=m}$$$): $$$n$$$, $$$m$$$ gives the upper bound on the number of Lelle and Flamm's wins, $$$l$$$ and $$$f$$$ determine the final score of the performance.

Unusual additional constraint: it is guaranteed that, for each test, there are no pairs of test cases with the same pair of $$$n$$$, $$$m$$$.

For each test case, output a single integer — the maximum total score of a successful performance.

Inputs:
8
3 3 2 5
4 4 1 4
6 6 2 2
7 7 2 3
9 9 9 1
2 2 1 4
5 5 1 4
8 8 6 7


Outputs:
19
17
18
33
86
9
24
86
"
349,"Problem: This is the hard version of the problem. In this version, it is not guaranteed that $$$n=m$$$, and the time limit is higher. You can make hacks only if both versions of the problem are solved.

In the court of the Blue King, Lelle and Flamm are having a performance match. The match consists of several rounds. In each round, either Lelle or Flamm wins.

Let $$$W_L$$$ and $$$W_F$$$ denote the number of wins of Lelle and Flamm, respectively. The Blue King considers a match to be successful if and only if:

- after every round, $$$\gcd(W_L,W_F)\le 1$$$;
- at the end of the match, $$$W_L\le n, W_F\le m$$$.

Note that $$$\gcd(0,x)=\gcd(x,0)=x$$$ for every non-negative integer $$$x$$$.

Lelle and Flamm can decide to stop the match whenever they want, and the final score of the performance is $$$l \cdot W_L + f \cdot W_F$$$.

Please help Lelle and Flamm coordinate their wins and losses such that the performance is successful, and the total score of the performance is maximized.

Input and Output Format:
The first line contains an integer $$$t$$$ ($$$1\leq t \leq 10^3$$$) — the number of test cases.

The only line of each test case contains four integers $$$n$$$, $$$m$$$, $$$l$$$, $$$f$$$ ($$$2\leq n\leq m \leq 2\cdot 10^7$$$, $$$1\leq l,f \leq 10^9$$$): $$$n$$$, $$$m$$$ give the upper bound on the number of Lelle and Flamm's wins, $$$l$$$ and $$$f$$$ determine the final score of the performance.

Unusual additional constraint: it is guaranteed that, for each test, there are no pairs of test cases with the same pair of $$$n$$$, $$$m$$$.

For each test case, output a single integer — the maximum total score of a successful performance.

Inputs:
8
3 4 2 5
4 4 1 4
6 6 2 2
7 9 2 3
8 9 9 1
2 7 1 4
5 9 1 4
5 6 6 7


Outputs:
22
17
18
37
77
30
41
59
"
350,"Problem: Consider a grid graph with $$$n$$$ rows and $$$n$$$ columns. Let the cell in row $$$x$$$ and column $$$y$$$ be $$$(x,y)$$$. There exists a directed edge from $$$(x,y)$$$ to $$$(x+1,y)$$$, with non-negative integer value $$$d_{x,y}$$$, for all $$$1\le x < n, 1\le y \le n$$$, and there also exists a directed edge from $$$(x,y)$$$ to $$$(x,y+1)$$$, with non-negative integer value $$$r_{x,y}$$$, for all $$$1\le x \le n, 1\le y < n$$$.

Initially, you are at $$$(1,1)$$$, with an empty set $$$S$$$. You need to walk along the edges and eventually reach $$$(n,n)$$$. Whenever you pass an edge, its value will be inserted into $$$S$$$. Please maximize the MEX$$$^{\text{∗}}$$$ of $$$S$$$ when you reach $$$(n,n)$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le100$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$2\le n\le20$$$) — the number of rows and columns.

Each of the next $$$n-1$$$ lines contains $$$n$$$ integers separated by single spaces — the matrix $$$d$$$ ($$$0\le d_{x,y}\le 2n-2$$$).

Each of the next $$$n$$$ lines contains $$$n-1$$$ integers separated by single spaces — the matrix $$$r$$$ ($$$0\le r_{x,y}\le 2n-2$$$).

It is guaranteed that the sum of all $$$n^3$$$ does not exceed $$$8000$$$.

For each test case, print a single integer — the maximum MEX of $$$S$$$ when you reach $$$(n,n)$$$.

Inputs:
2
3
1 0 2
0 1 3
2 1
0 3
3 0
3
1 2 0
0 1 2
2 0
1 2
0 1


Outputs:
3
2
"
351,"Problem: It's been a long summer's day, with the constant chirping of cicadas and the heat which never seemed to end. Finally, it has drawn to a close. The showdown has passed, the gates are open, and only a gentle breeze is left behind.

Your predecessors had taken their final bow; it's your turn to take the stage.

Sorting through some notes that were left behind, you found a curious statement named Problem 101:

- Given a positive integer sequence $$$a_1,a_2,\ldots,a_n$$$, you can operate on it any number of times. In an operation, you choose three consecutive elements $$$a_i,a_{i+1},a_{i+2}$$$, and merge them into one element $$$\max(a_i+1,a_{i+1},a_{i+2}+1)$$$. Please calculate the maximum number of operations you can do without creating an element greater than $$$m$$$.

After some thought, you decided to propose the following problem, named Counting 101:

- Given $$$n$$$ and $$$m$$$. For each $$$k=0,1,\ldots,\left\lfloor\frac{n-1}{2}\right\rfloor$$$, please find the number of integer sequences $$$a_1,a_2,\ldots,a_n$$$ with elements in $$$[1, m]$$$, such that when used as input for Problem 101, the answer is $$$k$$$. As the answer can be very large, please print it modulo $$$10^9+7$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1\le t\le10^3$$$). The description of the test cases follows.

The only line of each test case contains two integers $$$n$$$, $$$m$$$ ($$$1\le n\le 130$$$, $$$1\le m\le 30$$$).

For each test case, output $$$\left\lfloor\frac{n+1}{2}\right\rfloor$$$ numbers. The $$$i$$$-th number is the number of valid sequences such that when used as input for Problem 101, the answer is $$$i-1$$$, modulo $$$10^9+7$$$.

Inputs:
2
3 2
10 10


Outputs:
6 2 
1590121 23399118 382293180 213020758 379696760 
"
352,"Problem: Roaming through the alligator-infested Everglades, Florida Man encounters a most peculiar showdown.

There are $$$n$$$ lilypads arranged in a row, numbered from $$$1$$$ to $$$n$$$ from left to right. Alice and Bob are frogs initially positioned on distinct lilypads, $$$a$$$ and $$$b$$$, respectively. They take turns jumping, starting with Alice.

During a frog's turn, it can jump either one space to the left or one space to the right, as long as the destination lilypad exists. For example, on Alice's first turn, she can jump to either lilypad $$$a-1$$$ or $$$a+1$$$, provided these lilypads are within bounds. It is important to note that each frog must jump during its turn and cannot remain on the same lilypad.

However, there are some restrictions:

- The two frogs cannot occupy the same lilypad. This means that Alice cannot jump to a lilypad that Bob is currently occupying, and vice versa.
- If a frog cannot make a valid jump on its turn, it loses the game. As a result, the other frog wins.

Determine whether Alice can guarantee a win, assuming that both players play optimally. It can be proven that the game will end after a finite number of moves if both players play optimally.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 500$$$). The description of the test cases follows.

The first and only line of each test case contains three integers $$$n$$$, $$$a$$$, and $$$b$$$ ($$$2 \leq n \leq 100$$$, $$$1 \leq a, b \leq n$$$, $$$a\neq b$$$) — the number of lilypads, and the starting positions of Alice and Bob, respectively.

Note that there are no constraints on the sum of $$$n$$$ over all test cases.

For each test case, print a single line containing either ""YES"" or ""NO"", representing whether or not Alice has a winning strategy.

You can output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive responses.

Inputs:
5
2 1 2
3 3 1
4 2 3
5 2 4
7 6 2


Outputs:
NO
YES
NO
YES
YES
"
353,"Problem: As you'd expect, Florida is home to many bizarre magical forces, and Florida Man seeks to tame them.

There are $$$n$$$ different types of magical materials, numbered from $$$1$$$ to $$$n$$$. Initially, you have $$$a_i$$$ units of material $$$i$$$ for each $$$i$$$ from $$$1$$$ to $$$n$$$. You are allowed to perform the following operation:

- Select a material $$$i$$$ (where $$$1\le i\le n$$$). Then, spend $$$1$$$ unit of every other material $$$j$$$ (in other words, $$$j\neq i$$$) to gain $$$1$$$ unit of material $$$i$$$. More formally, after selecting material $$$i$$$, update array $$$a$$$ as follows: $$$a_i := a_i + 1$$$, and $$$a_j := a_j - 1$$$ for all $$$j$$$ where $$$j\neq i$$$ and $$$1\le j\le n$$$. Note that all $$$a_j$$$ must remain non-negative, i.e. you cannot spend resources you do not have.

You are trying to craft an artifact using these materials. To successfully craft the artifact, you must have at least $$$b_i$$$ units of material $$$i$$$ for each $$$i$$$ from $$$1$$$ to $$$n$$$. Determine if it is possible to craft the artifact by performing the operation any number of times (including zero).

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains a single integer $$$n$$$ ($$$2\le n\le 2\cdot 10^5$$$) — the number of types of materials.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \le a_i\le 10^9$$$) — the amount of each material $$$i$$$ that you currently hold.

The third line of each test case contains $$$n$$$ integers $$$b_1, b_2, \ldots, b_n$$$ ($$$0 \le b_i\le 10^9$$$) — the amount of each material $$$i$$$ needed to produce the artifact.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, print a single line containing either ""YES"" or ""NO"", representing whether or not the artifact can be crafted.

You can output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive responses.

Inputs:
3
4
0 5 5 1
1 4 4 0
3
1 1 3
2 2 1
2
1 10
3 3


Outputs:
YES
NO
YES
"
